# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-138 c,Confirmed,0.0062,0.00352,0.00602,,,,0.107,0.006,0.006,13.7813,0.0001,0.0001,,,,0.05,0.025,0.049,,,,,2014,2021-02-05,72.0,28.0,47.0,,,,2455686.1289,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-314.01, K000314.01, KOI-314 b, KOI-314c, 2MASS J19213157+4317347 c, K00314.01, KIC 7603200 c, WISE J192131.55+431734.9  c",,Kepler-138,290.381547,43.292973,,,10.293,9.68,9.506,66.99,0.11,0.11,-0.28,0.099,0.099,0.52,0.06,0.06,0.44,0.02,0.02,M1 V,,,,3841.0,49.0,49.0,,,"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9"
Kepler-138 d,Confirmed,0.00201,0.00122,0.00212,0.00318,0.00107,0.00132,0.108,0.007,0.007,23.0881,0.0008,0.0009,,,,0.024,0.016,0.03,,,,,2014,2021-02-05,170.0,120.0,130.0,,,,2455696.6689,0.0013,0.0013,,,,,,,,,,,,,,,,,,,431.0,,,,,,,,,Announced on a professional conference,Primary Transit,TTV,,"KOI-314.02, K000314.02, KOI-314 c, KOI-314d, 2MASS J19213157+4317347 d, K00314.02, KIC 7603200 d, KOI-314 d, WISE J192131.55+431734.9  d",,Kepler-138,290.381547,43.292973,,,10.293,9.68,9.506,66.99,0.11,0.11,-0.28,0.099,0.099,0.52,0.06,0.06,0.44,0.02,0.02,M1 V,,,,3841.0,49.0,49.0,,,"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9"
Kepler-167 d,Confirmed,0.006,0.003,0.003,,,,0.107,0.004,0.004,21.803855,0.000119,7.8e-05,0.1405,0.0071,0.005,0.12,,,89.352,0.14,0.09,,2016,2021-02-05,,,,,,,2455669.7934,0.0018,0.0015,2455669.7934,0.0018,0.0018,,,,,,,0.474,0.063,0.076,,,,,,,536.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J19303802+3820434 d, K00490.04, KIC 3239945 d, KOI-490 d, KOI-490.04, Kepler-167 A d, WISE J193038.04+382043.8 d",,Kepler-167,292.658441,38.345413,,,12.446,11.974,11.832,330.0,10.0,10.0,-0.03,0.08,0.08,0.77,0.03,0.02,0.73,0.01,0.02,K4,3.3,-0.8,5.8,4890.0,50.0,50.0,,,"2MASS J19303802+3820434, KIC 3239945, KOI-490, Kepler-167 A, WISE J193038.04+382043.8"
Kepler-197 c,Confirmed,0.017,0.0091,0.01,,,,0.11,0.004,0.004,10.349695,4.5e-05,4.5e-05,0.09,,,0.08,0.08,0.21,,,,,2014,2021-02-05,,,,,,,2455007.06421,0.00254,0.00254,,,,,,,,,,0.22,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19405434+5033323 c, K00623.01, KIC 12068975 c, KOI-623 c, KOI-623.01, Kepler-197 A c, WISE J194054.30+503332.4  c",,Kepler-197,295.226435,50.559006,,,10.814,10.577,10.535,333.75,2.36,2.36,-0.533,,,,,,1.12,0.03,0.03,,,,,6004.0,102.0,102.0,,,"2MASS J19405434+5033323, KIC 12068975, KOI-623, Kepler-197 A, WISE J194054.30+503332.4"
Kepler-20 b,Confirmed,0.03052,0.00453,0.00444,,,,0.167,0.003,0.006,3.69611525,8.7e-07,1.15e-06,0.0463,0.0015,0.0009,0.03,0.03,0.09,87.355,1.594,0.215,0.000156,2011,2021-02-05,,,,,,,2454967.502014,0.000217,0.000253,2454967.50201,0.000217,0.000253,,,,,,,,,,,,,4.2,0.65,0.55,1105.0,37.0,37.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 b, K00070.02, KIC 6850504 b, KOI-70 b, KOI-70.02, Kepler-20 A b, WISE J191047.52+422019.0  b",,Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,1.78,1.78,0.07,0.08,0.08,0.95,0.05,0.05,0.96,0.02,0.02,G8,7.6,-3.7,3.7,5495.0,50.0,50.0,,,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-20 e,Confirmed,0.0097,inf,nan,,,,0.077,0.002,0.002,6.09852281,1.351e-05,6.08e-06,0.0639,0.0014,0.0019,,,,87.632,0.128,1.085,0.000175,2011,2021-02-05,,,,,,,2454968.931544,0.000732,0.002223,2454968.93154,0.000732,0.002223,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 e, K00070.04, KIC 6850504 e, KOI-70 e, KOI-70.04, Kepler-20 A e, WISE J191047.52+422019.0  e",,Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,1.78,1.78,0.07,0.08,0.08,0.95,0.05,0.05,0.96,0.02,0.02,G8,7.6,-3.7,3.7,5495.0,50.0,50.0,,,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-21 b,Confirmed,0.01598,0.00541,0.00541,,,,0.146,0.001,0.002,2.78578,3e-05,3e-05,0.042717,0.0,0.0,0.02,0.02,0.1,83.2,0.26,0.28,0.000394,2012,2021-02-05,-15.0,79.0,79.0,2456797.9,0.7,0.7,2456798.7188,0.0001,0.0001,2455093.83716,0.00085,0.00062,,,,,,,0.584,0.02,0.018,,,,1.99,0.65,0.65,2025.0,,,,,,,,,Announced on a professional conference,Primary Transit,,Primary Transit,"Kepler-21 b, 2MASS J19092683+3842505 b, BD+38 3455 b, HD 179070 b, HIP 94112 b, K00975.01, KIC 3632418 b, KOI-975 b, KOI-975.01, Kepler-21 A b, SAO 67891 b, TYC 3120-00963-1 b, WISE J190926.86+384250.7  b",,Kepler-21,287.361816,38.714016,8.27,,7.229,7.031,,108.86,0.38,0.38,-0.03,0.1,0.1,1.41,0.03,0.02,1.9,0.01,0.02,F6 IV,3.03,-0.35,0.35,6305.0,50.0,50.0,,,"Kepler-21, 2MASS J19092683+3842505, BD+38 3455, HD 179070, HIP 94112, KIC 3632418, KOI-975, Kepler-21 A, SAO 67891, TYC 3120-00963-1, WISE J190926.86+384250.7"
Kepler-338 e,Confirmed,0.027,0.02,0.023,,,,0.139,0.006,0.006,9.341,,,,,,0.05,0.05,0.23,,,,,2014,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,,,"2MASS J18515494+4047036 e, K01930.04, KIC 5511081 e, KOI-1930 e, KOI-1930.04",,Kepler-338,282.978956,40.784347,,,11.098,10.841,10.756,561.69,6.89,6.89,-0.106,,,1.1,,,1.74,0.08,0.08,,,,,5923.0,77.0,77.0,,,"2MASS J18515494+4047036, KIC 5511081, KOI-1930, WISE J185154.96+404703.8"
Kepler-36 b,Confirmed,0.01205,0.00031,0.00035,,,,0.134,0.004,0.005,13.86825,0.0005,0.0005,0.1153,0.0015,0.0015,0.0,,,,,,,2012,2021-02-05,,,,,,,,,,2454960.9753,0.0058,0.0058,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19250004+4913545 b, K00277.02, KIC 11401755 b, KOI-277 b, KOI-277.02, WISE J192500.03+491354.5  b",,Kepler-36,291.250191,49.231827,12.0,,11.124,10.85,,470.0,,,-0.18,0.04,0.04,1.03,0.02,0.02,1.63,0.04,0.04,,6.923,0.372,0.372,5979.0,60.0,60.0,,,"2MASS J19250004+4913545, KIC 11401755, KOI-277, WISE J192500.03+491354.5"
Kepler-37 b,Confirmed,0.01,0.01,0.01,,,,0.026,0.003,0.003,13.36731,7.1e-05,7.1e-05,0.1003,0.0011,0.0008,0.0,,,88.63,0.53,0.3,,2013,2021-02-05,,,,,,,,,,2455017.03271,0.00089,0.00034,,,,,,,,,,,,,0.9,1.1,1.1,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J18561431+4431052 b, K00245.03, KIC 8478994 b, KOI-245 b, KOI-245.03, WISE J185614.24+443105.9  b",,Kepler-37,284.05966,44.518131,10.3,,8.356,8.0,,64.04,0.12,0.12,-0.32,0.07,0.07,0.87,0.15,0.15,0.79,0.03,0.03,,6.0,,,5417.0,75.0,75.0,,,"KOI-245 , KIC 8478994 , 2MASS J18561431+4431052 , 2MASS J18561431+4431052, KIC 8478994, KOI-245, WISE J185614.24+443105.9"
