# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-37 d,Confirmed,0.017,0.0044,0.0044,,,,0.173,0.005,0.005,39.7922,,,0.2109,0.0029,0.0029,0.142,0.044,0.036,89.335,0.047,0.043,,2013,2021-07-30,,,,,,,2455008.2495,,,2455008.24979,0.00049,0.00043,,,,,,,0.53,0.01,0.01,,,,1.22,0.31,0.31,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J18561431+4431052 d, K00245.01, KIC 8478994 d, KOI-245 d, KOI-245.01, WISE J185614.24+443105.9  d",,Kepler-37,284.05966,44.518131,10.3,,8.356,8.0,,64.04,0.12,0.12,-0.32,0.07,0.07,0.87,0.15,0.15,0.79,0.03,0.03,,6.0,,,5417.0,75.0,75.0,,,"KOI-245 , KIC 8478994 , 2MASS J18561431+4431052 , 2MASS J18561431+4431052, KIC 8478994, KOI-245, WISE J185614.24+443105.9"
Kepler-406 b,Confirmed,0.02,0.004,0.004,0.02,0.0044,0.0044,0.128,0.003,0.003,2.42629,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2455003.4568,,,,,,,,,,,,0.1,0.06,0.06,,,,2.89,0.6,0.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19272353+4458056 b, K00321.01, KIC 8753657 b, KOI-321 b, KOI-321.01, WISE J192723.55+445805.7  b",,Kepler-406,291.848044,44.968224,12.52,12.312,11.34,11.035,10.97,367.86,3.42,3.42,0.18,0.07,0.07,1.07,0.06,0.06,1.07,0.02,0.02,,5.84,,,5538.0,75.0,75.0,,,"KIC 8753657, KOI-321, 2MASS J19272353+4458056, WISE J192723.55+445805.7"
Kepler-406 c,Confirmed,0.009,0.006,0.006,0.00853,0.0057,0.0057,0.076,0.003,0.003,4.62332,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2454965.37438,,,,,,,,,,,,0.36,0.06,0.06,,,,1.0,0.6,0.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19272353+4458056 c, K00321.02, KIC 8753657 c, KOI-321 c, KOI-321.02, WISE J192723.55+445805.7  c",,Kepler-406,291.848044,44.968224,12.52,12.312,11.34,11.035,10.97,367.86,3.42,3.42,0.18,0.07,0.07,1.07,0.06,0.06,1.07,0.02,0.02,,5.84,,,5538.0,75.0,75.0,,,"KIC 8753657, KOI-321, 2MASS J19272353+4458056, WISE J192723.55+445805.7"
Kepler-407 b,Confirmed,0.01007,,,,,,0.095,0.002,0.002,0.66931,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2454967.13162,,,,,,,,,,,,0.25,0.15,0.15,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-1442 b, KIC 11600889 b, 2MASS J19040872+4936522 b, K01442.01, KOI-1442.01, WISE J190408.71+493652.2  b",,Kepler-407,286.036347,49.614506,,,11.332,10.983,10.91,341.69,2.54,2.54,0.33,0.07,0.07,1.0,0.06,0.06,1.01,0.07,0.07,,7.47,,,5476.0,75.0,75.0,,,"2MASS J19040872+4936522, KOI-1442, KIC 11600889, WISE J190408.71+493652.2"
Kepler-408 b,Confirmed,0.01573,,,0.02,,,0.073,0.0003,0.0003,2.46502,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2454965.67928,,,2454965.67928,,,,,,42.0,4.0,5.0,0.92,0.01,0.01,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-1612.01, 2MASS J18590868+4825236 b, K01612.01, KIC 10963065 b, KOI-1925 b, WISE J185908.69+482523.7  b",,Kepler-408,284.786175,48.423233,9.0,,7.784,7.539,,89.01,0.26,0.26,-0.2,0.1,0.1,1.08,0.07,0.07,1.23,0.03,0.03,,6.68,,,6104.0,74.0,74.0,,,"KOI-1612, 2MASS J18590868+4825236, KIC 10963065, WISE J185908.69+482523.7"
Kepler-414 b,Confirmed,0.011,0.009,0.011,,,,0.153,0.012,0.028,4.7,,,,,,,,,,,,,2014,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,Primary Transit,"2MASS J19515077+4814397 b, K00341.02, KIC 10878263 b, KOI-341 b, KOI-341.02",,Kepler-414,297.961566,48.244362,,,12.087,11.75,11.7,418.44,,,0.05,0.102,0.102,0.89,0.039,0.038,0.95,0.036,0.038,,5.5,3.28,3.6,5567.0,111.0,111.0,,,"Kepler-414, 2MASS J19515077+4814397, KIC 10878263, KOI-341, WISE J195150.77+481439.6"
Kepler-42 b,Confirmed,0.009,inf,nan,,,,0.07,0.02,0.02,1.2137672,4.6e-06,4.6e-06,0.0116,,,,,,,,,0.0003,2011,2021-02-05,,,,,,,2455003.48329,0.00054,0.00054,,,,,,,,,,0.711,0.049,0.049,,,,,,,519.0,52.0,52.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19285255+4437096 b, K00961.01, KIC 8561063 b, KOI-961 b, KOI-961.01, WISE J192852.66+443704.5 b",,Kepler-42,292.219033,44.61916,16.12,,12.177,11.685,,38.7,6.3,6.3,-0.33,0.12,0.12,0.13,0.05,0.05,0.17,0.05,0.05,M,4.5,-1.0,0.5,3068.0,174.0,174.0,,,"2MASS J19285255+4437096, KIC 8561063, KOI-961, WISE J192852.66+443704.5"
Kepler-42 c,Confirmed,0.006,inf,nan,,,,0.065,0.018,0.018,0.45328509,9.7e-07,9.7e-07,0.006,,,,,,,,,0.000155,2011,2021-02-05,,,,,,,2454966.86952,0.00042,0.00042,,,,,,,,,,0.52,0.068,0.068,,,,,,,720.0,73.0,73.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19285255+4437096 c, K00961.02, KIC 8561063 c, KOI-961 c, KOI-961.02, WISE J192852.66+443704.5 c",,Kepler-42,292.219033,44.61916,16.12,,12.177,11.685,,38.7,6.3,6.3,-0.33,0.12,0.12,0.13,0.05,0.05,0.17,0.05,0.05,M,4.5,-1.0,0.5,3068.0,174.0,174.0,,,"2MASS J19285255+4437096, KIC 8561063, KOI-961, WISE J192852.66+443704.5"
Kepler-42 d,Confirmed,0.003,inf,nan,,,,0.051,0.016,0.016,1.865169,1.4e-05,1.4e-05,0.0154,,,,,,,,,0.000398,2011,2021-02-05,,,,,,,2454966.7847,0.0013,0.0013,,,,,,,,,,0.681,0.085,0.085,,,,,,,450.0,45.0,45.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19285255+4437096 d, K00961.03, KIC 8561063 d, KOI-961 d, KOI-961.03, WISE J192852.66+443704.5 d",,Kepler-42,292.219033,44.61916,16.12,,12.177,11.685,,38.7,6.3,6.3,-0.33,0.12,0.12,0.13,0.05,0.05,0.17,0.05,0.05,M,4.5,-1.0,0.5,3068.0,174.0,174.0,,,"2MASS J19285255+4437096, KIC 8561063, KOI-961, WISE J192852.66+443704.5"
Kepler-445 b,Confirmed,0.02,0.003,0.003,,,,0.14,0.02,0.02,2.984151,1.1e-05,1.1e-05,,,,0.0,,,89.74,0.18,0.28,,2015,2021-02-05,,,,,,,2454966.1194,0.0033,0.0033,2454699.8806,0.0033,0.0033,,,,,,,0.001,0.001,0.203,,,,7.0,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J19545665+4629548 b, K02704.02, KIC 9730163 b, KOI-2704 b, KOI-2704.02, WISE J195456.70+462956.2 b",,Kepler-445,298.736067,46.498552,18.0,,13.542,12.929,,90.0,,,0.27,0.13,0.13,0.18,0.04,0.04,0.21,0.03,0.03,M4,,,,3157.0,60.0,60.0,,,"2MASS J19545665+4629548, KIC 9730163, KOI-2704, WISE J195456.70+462956.2"
Kepler-445 d,Confirmed,0.011,0.002,0.002,,,,0.11,0.02,0.02,8.15275,0.0004,0.0004,,,,0.0,,,89.61,0.27,0.27,,2015,2021-02-05,,,,,,,2454836.751223,0.05,0.05,2454829.24878,0.05,0.05,,,,,,,0.011,0.01,0.47,,,,3.0,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J19545665+4629548 d, K02704.03, KIC 9730163 d, KOI-2704 d, KOI-2704.03, WISE J195456.70+462956.2 d",,Kepler-445,298.736067,46.498552,18.0,,13.542,12.929,,90.0,,,0.27,0.13,0.13,0.18,0.04,0.04,0.21,0.03,0.03,M4,,,,3157.0,60.0,60.0,,,"2MASS J19545665+4629548, KIC 9730163, KOI-2704, WISE J195456.70+462956.2"
Kepler-446 b,Confirmed,0.014,0.002,0.002,,,,0.13,0.02,0.02,1.565409,3.3e-06,3.3e-06,,,,0.0,,,87.42,0.62,0.37,,2015,2021-02-05,,,,,,,2454965.9135,0.0019,0.0019,2454965.0019,0.0019,0.0019,,,,,,,0.601,,,,,,7.0,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J18490005+4455160 b, K02842.01, KIC 8733898 b, KOI-2842 b, KOI-2842.01, WISE J184900.02+445515.7 b",,Kepler-446,282.250207,44.921102,16.5,,13.591,13.075,,120.0,,,-0.3,0.12,0.12,0.22,0.05,0.05,0.24,0.04,0.04,M4,,,,3359.0,60.0,60.0,,,"2MASS J18490005+4455160, KIC 8733898, KOI-2842, WISE J184900.02+445515.7"
Kepler-446 c,Confirmed,0.009,0.003,0.003,,,,0.1,0.02,0.02,3.036179,5.5e-06,5.5e-06,,,,0.0,,,88.97,0.57,0.46,,2015,2021-02-05,,,,,,,2454967.069573,0.000945,0.000945,2454100.93043,0.000945,0.000945,,,,,,,0.025,0.025,0.529,,,,3.5,1.5,1.5,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J18490005+4455160 c, K02842.03, KIC 8733898 c, KOI-2842 c, KOI-2842.03, WISE J184900.02+445515.7 c",,Kepler-446,282.250207,44.921102,16.5,,13.591,13.075,,120.0,,,-0.3,0.12,0.12,0.22,0.05,0.05,0.24,0.04,0.04,M4,,,,3359.0,60.0,60.0,,,"2MASS J18490005+4455160, KIC 8733898, KOI-2842, WISE J184900.02+445515.7"
Kepler-446 d,Confirmed,0.01,0.003,0.003,,,,0.12,0.02,0.02,5.148921,2.2e-05,2.2e-05,,,,0.0,,,88.72,0.19,0.19,,2015,2021-02-05,,,,,,,2454966.3196,0.0042,0.0042,2454699.6804,0.0042,0.0042,,,,,,,0.705,0.066,0.057,,,,4.0,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J18490005+4455160 d, K02842.02, KIC 8733898 d, KOI-2842 d, KOI-2842.02, WISE J184900.02+445515.7 d",,Kepler-446,282.250207,44.921102,16.5,,13.591,13.075,,120.0,,,-0.3,0.12,0.12,0.22,0.05,0.05,0.24,0.04,0.04,M4,,,,3359.0,60.0,60.0,,,"2MASS J18490005+4455160, KIC 8733898, KOI-2842, WISE J184900.02+445515.7"
Kepler-48 b,Confirmed,0.0124,0.0066,0.0066,,,,0.168,0.009,0.009,4.778,,,,,,,,,,,,,2012,2021-02-05,,,,,,,2454957.06113,,,2454957.06301,0.001,0.001,,,,,,,0.17,0.11,0.11,,,,1.62,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19563341+4056564 b, K00148.01, KIC 5735762 b, KOI-148 b, KOI-148.01, WISE J195633.41+405656.1  b",,Kepler-48,299.139212,40.94902,13.04,12.761,11.702,11.292,11.221,309.47,1.83,1.83,0.17,0.07,0.07,0.88,0.06,0.06,0.89,0.05,0.05,,3.14,,,5194.0,73.0,73.0,,,"KIC 573576, KOI-148, 2MASS J19563341+4056564, KIC 5735762, WISE J195633.41+405656.1"
Kepler-595 c,Confirmed,0.01038,0.00315,0.00535,,,,0.09,0.002,0.002,12.38602,5e-06,5e-06,,,,,,,,,,,2020,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19381689+5040228 c, K00547.03, KIC 12116489 c, KOI-547 c, KOI-547.03, TIC 27231753 c, WISE J193816.89+504022.8 c",,Kepler-595,294.570393,50.673023,,,13.335,12.94,12.862,639.0,,,0.08,0.157,0.15,0.93,0.06,0.06,0.82,0.24,0.24,,,,,5247.0,79.67,59.03,,,"2MASS J19381689+5040228, KIC 12116489, KOI-547, TIC 27231753, WISE J193816.89+504022.8"
Kepler-60 b,Confirmed,0.01318,0.00164,0.00176,,,,0.153,0.012,0.012,7.1334,0.0001,0.0001,0.07497,,,,,,,,,,2012,2021-02-05,,,,,,,2456462.2796,0.0033,0.0034,2454969.03637,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 b, K02086.01, KIC 6768394 b, KOI-2086 b, KOI-2086.01, WISE J191550.69+421554.0  b",,Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,20.64,20.64,-0.09,0.1,0.1,1.04,0.08,0.08,1.26,0.09,0.09,,,,,5905.0,144.0,144.0,,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
Kepler-60 c,Confirmed,0.01211,0.00255,0.00255,,,,0.17,0.013,0.013,8.9187,0.0002,0.0002,0.08701,,,,,,,,,,2012,2021-02-05,,,,,,,2456466.5827,0.0032,0.0032,2454973.06513,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19155069+4215540 c, K02086.02, KIC 6768394 c, KOI-2086 c, KOI-2086.02, WISE J191550.69+421554.0  c",,Kepler-60,288.961242,42.265011,14.5,,12.804,12.569,,1056.17,20.64,20.64,-0.09,0.1,0.1,1.04,0.08,0.08,1.26,0.09,0.09,,,,,5905.0,144.0,144.0,,,"2MASS J19155069+4215540, KIC 6768394, KOI-2086, WISE J191550.69+421554.0"
Kepler-62 b,Confirmed,0.03,,,0.028,0.028,0.0,0.117,0.0036,0.0036,5.714932,9e-06,9e-06,0.0553,0.0005,0.0005,,,,89.2,0.4,0.4,,2013,2021-02-05,,,,,,,2455003.9189,0.0009,0.0009,2455003.9189,0.0009,0.0009,,,,,,,0.25,0.13,0.13,,,,,,,750.0,41.0,41.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J18525105+4520595 b, K00701.02, KIC 9002278 b, KOI-701 b, KOI-701.02, WISE J185251.03+452059.0  b",,Kepler-62,283.212747,45.349865,14.0,,12.256,11.739,,368.0,,,-0.37,0.04,0.04,0.69,0.02,0.02,0.64,0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,70.0,70.0,,,"2MASS J18525105+4520595, KIC 9002278, KOI-701, WISE J185251.03+452059.0"
Kepler-62 c,Confirmed,0.013,,,0.0126,0.0126,0.0,0.048,0.0027,0.0027,12.4417,0.0001,0.0001,0.0929,0.0009,0.0009,,,,89.7,0.2,0.2,,2013,2021-02-05,,,,,,,2454967.651,0.008,0.008,2454967.651,0.008,0.008,,,,,,,0.16,0.09,0.09,,,,,,,578.0,31.0,31.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J18525105+4520595 c, K00701.05, KIC 9002278 c, KOI-701 c, KOI-701.05, WISE J185251.03+452059.0  c",,Kepler-62,283.212747,45.349865,14.0,,12.256,11.739,,368.0,,,-0.37,0.04,0.04,0.69,0.02,0.02,0.64,0.02,0.02,K2 V,7.0,-4.0,4.0,4925.0,70.0,70.0,,,"2MASS J18525105+4520595, KIC 9002278, KOI-701, WISE J185251.03+452059.0"
Kepler-68 c,Confirmed,0.00642,0.0056,0.00541,,,,0.0827,0.0022,0.0022,9.6051,,,0.09059,0.00082,0.00082,0.0,,,86.93,0.41,0.41,,2013,2021-02-05,0.0,,,,,,2455708.9682,,,2454969.3805,0.0041,0.0041,,,,,,,0.77,0.01,0.01,,,,0.59,0.52,0.5,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19240775+4902249 c, K00246.02, KIC 11295426 c, KOI-246 c, KOI-246.02, Kepler-68 A c, TYC 3551-189-1 c, WISE J192407.75+490224.8  c",,Kepler-68,291.032305,49.040272,,,8.975,8.662,,144.77,0.44,0.44,0.12,0.074,0.074,1.08,0.05,0.05,1.24,0.02,0.02,,6.3,1.7,1.7,5793.0,74.0,74.0,,,"2MASS J19240775+4902249, KIC 11295426, KOI-246, Kepler-68 A, TYC 3551-189-1, WISE J192407.75+490224.8"
Kepler-78 b,Confirmed,0.00619,0.00168,0.00168,,,,0.1,0.01,0.01,0.35500744,6e-08,6e-08,0.01,0.011,0.0025,,,,79.0,14.0,9.0,,2013,2021-02-05,,,,,,,,,,2454953.95984,0.00015,0.00015,,,,,,,,,,,,,2.0,0.3,0.3,2330.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19345800+4426539 b, KIC 8435766 b, Kepler-78 A b, WISE J193458.03+442653.7  b",,Kepler-78,293.74169,44.44833,12.0,,10.184,9.675,,124.82,0.33,0.33,-0.14,0.08,0.08,0.84,0.32,0.32,0.75,0.03,0.03,G,,,,5089.0,50.0,50.0,,Yes,"2MASS J19345800+4426539, KIC 8435766, Kepler-78 A, WISE J193458.03+442653.7"
Kepler-80 d,Confirmed,0.02124,0.0016,0.00217,,,,0.136,0.006,0.008,3.07222,4e-05,6e-05,0.0372,0.0005,0.0005,,,,88.35,1.51,1.12,,2014,2021-02-05,,,,,,,2455695.129,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,"KOI-500 d, 2MASS J19442701+3958436 d, K00500.03, KIC 4852528 d, KOI-500.03, WISE J194427.01+395843.5  d",,Kepler-80,296.112564,39.978779,15.0,,12.954,12.354,,357.0,,,0.04,0.08,0.08,0.73,0.03,0.03,0.68,0.02,0.02,K5,2.0,-1.0,1.0,4540.0,100.0,100.0,,,"KOI-500, 2MASS J19442701+3958436, KIC 4852528, WISE J194427.01+395843.5"
Kepler-80 e,Confirmed,0.01299,0.00299,0.00255,,,,0.143,0.006,0.007,4.64489,0.00019,0.0002,0.0491,0.0007,0.0007,,,,88.79,1.07,0.84,,2014,2021-02-05,,,,,,,2455696.915,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,"KOI-500 e, 2MASS J19442701+3958436 e, K00500.04, KIC 4852528 e, KOI-500.04, WISE J194427.01+395843.5  e",,Kepler-80,296.112564,39.978779,15.0,,12.954,12.354,,357.0,,,0.04,0.08,0.08,0.73,0.03,0.03,0.68,0.02,0.02,K5,2.0,-1.0,1.0,4540.0,100.0,100.0,,,"KOI-500, 2MASS J19442701+3958436, KIC 4852528, WISE J194427.01+395843.5"
Kepler-9 d,Confirmed,0.016518264481,0.00550608816034,0.00550608816034,,,,0.146,0.012,0.017,1.592851,4.5e-05,4.5e-05,0.0273,0.00043,0.00042,,,,,,,,2010,2021-02-05,,,,,,,2455015.0943,0.0033,0.0018,2455015.094,0.0033,0.0033,,,,,,,,,,,,,,,,2026.0,60.0,60.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19021775+3824032 d, K00377.03, KIC 3323887 d, KOI-377 d, KOI-377.03, WISE J190217.77+382402.9  d",,Kepler-9,285.573981,38.400892,13.9,,12.71,12.391,,614.0,13.0,13.0,0.05,0.07,0.07,1.02,0.04,0.03,0.96,0.02,0.02,,2.0,-1.3,2.0,5774.0,60.0,60.0,,,"2MASS J19021775+3824032, KIC 3323887, KOI-377, WISE J190217.77+382402.9"
Kepler-93 b,Confirmed,0.0143,0.00267,0.00267,,,,0.14,0.01,0.01,4.72674,1e-06,1e-06,0.053,0.002,0.002,0.0,,,89.18,0.04,0.04,,2014,2021-02-05,,,,,,,,,,,,,,,,,,,0.2,0.02,0.02,,,,1.6,0.3,0.3,1037.0,,,,,,,,3.26,Published in a refereed paper,Primary Transit,,,"2MASS J19254039+3840204 b, K00069.01, KIC 3544595 b, KOI-69 b, KOI-69.01, WISE J192540.36+384020.4  b",,Kepler-93,291.418281,38.672354,,,8.771,8.446,,96.18,0.22,0.22,-0.18,0.1,0.1,1.09,0.14,0.14,0.98,0.04,0.04,,6.6,0.9,0.9,5669.0,75.0,75.0,,,"2MASS J19254039+3840204, KIC 3544595, KOI-69, WISE J192540.36+384020.4"
Kepler-97 b,Confirmed,0.011,0.006,0.006,,,,0.132,0.012,0.012,2.58664,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.84121,,,,,,,,,,,,0.41,0.16,0.16,,,,1.65,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19091838+4840243 b, K00292.01, KIC 11075737 b, KOI-292 b, KOI-292.01, WISE J190918.37+484024.1  b",,Kepler-97,287.326624,48.673431,,,11.744,11.408,11.3,405.58,3.58,3.58,-0.2,0.07,0.07,0.94,0.06,0.06,0.98,0.09,0.09,G0V,8.42,,,5779.0,74.0,74.0,,,"KOI-292, 2MASS J19091838+4840243, KIC 11075737, WISE J190918.37+484024.1"
Kepler-99 b,Confirmed,0.019,0.004,0.004,,,,0.132,0.007,0.007,4.60358,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.83893,,,,,,,,,,,,0.21,0.13,0.13,,,,2.91,0.6,0.6,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19492496+4118001 b, K00305.01, KIC 6063220 b, KOI-305 b, KOI-305.01, Kepler-99 B b, WISE J194924.96+411800.2  b",,Kepler-99,297.354004,41.300049,,,11.368,10.852,10.8,209.63,1.04,1.04,0.18,0.07,0.07,0.79,0.06,0.06,0.73,0.04,0.04,,1.47,,,4782.0,129.0,129.0,,,"KOI-305, KIC 6063220, 2MASS J19492496+4118001, Kepler-99 B, WISE J194924.96+411800.2"
L 168-9 b,Confirmed,0.0145,0.00176,0.00176,,,,0.124,0.008,0.008,1.4015,0.00018,0.00018,0.02091,0.00024,0.00024,0.21,0.21,0.0,85.5,0.8,0.8,,2020,2020-01-28,,,,,,,,,,2458340.04781,0.00122,0.00088,,,,,,,,,,,,,3.66,0.47,0.47,816.0,160.0,160.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,L 168-9,350.033333336,-60.065277791,11.0,,,,,25.15,0.024,0.024,0.04,0.17,0.17,0.62,0.03,0.03,0.6,0.022,0.022,M1V,,,,3800.0,70.0,70.0,,,
L 98-59 b,Confirmed,0.0013,0.0005,0.0005,,,,0.0758,0.0036,0.005505,2.2531136,1.5e-06,1.2e-06,0.02191,0.00084,0.0008,0.1,0.045,0.117,87.71,0.44,1.16,,2018,2022-10-19,192.0,155.0,70.0,,,,,,,2451365.204,,,,,,,,,0.53,0.22,0.14,,,,0.46,0.17,0.2,627.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-175 b,"CH4, H2, H2O",L 98-59,122.533333336,-68.313055572,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500.0,150.0,150.0,,,TOI-175
L 98-59 c,Confirmed,0.00698,0.00082,0.00082,,,,0.12356,0.00669,0.00848,3.6906777,2.6e-06,1.6e-06,0.0304,0.0012,0.0012,0.103,0.058,0.045,88.11,0.16,0.36,,2018,2021-08-06,261.0,10.0,20.0,,,,,,,2451367.2751,,,,,,,,,0.6,0.066,0.08,,,,2.19,0.2,0.17,553.0,27.0,27.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-175 c,,L 98-59,122.533333336,-68.313055572,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500.0,150.0,150.0,,,TOI-175
L 98-59 d,Confirmed,0.0061,0.00088,0.00088,,,,0.1357,0.00874,0.0107,7.4507245,4.6e-06,8e-06,0.0486,0.0019,0.0019,0.074,0.046,0.057,88.449,0.11,0.06,,2018,2021-08-06,180.0,50.0,27.0,,,,,,,2451362.7375,,,,,,,,,0.922,0.06,0.06,,,,1.5,0.19,0.22,416.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-175 d,,L 98-59,122.533333336,-68.313055572,11.7,,,,,10.623,0.03,0.03,-0.5,0.5,0.5,0.32,0.03,0.03,0.291,0.025,0.025,,,,,3500.0,150.0,150.0,,,TOI-175
LHS 1140 b,Confirmed,0.02196,0.0028,0.0028,,,,0.15407,0.00285,0.00285,24.736,0.00025,0.00025,0.0936,0.0024,0.0024,0.06,0.06,0.0,89.912,0.07,0.07,,2017,2022-03-02,,,,,,,,,,2456915.6997,0.0054,0.0054,,,,,,,,,,,,,5.34,1.1,1.1,230.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-256 b,,LHS 1140,11.245833353,-15.271388898,14.15,,,,,12.47,0.42,0.42,-0.24,0.1,0.1,0.146,0.019,0.019,0.186,0.013,0.013,M4.5,5.0,0.0,8.0,3131.0,100.0,100.0,,,
LHS 1140 c,Confirmed,0.00569,0.00123,0.00123,,,,0.11437,0.00214,0.00214,3.777931,3e-06,3e-06,0.02675,0.0007,0.0007,0.31,0.31,0.0,89.92,0.09,0.06,,2018,2022-03-02,,,,,,,,,,2458226.84317,2.6e-05,2.6e-05,,,,,,,,,,,,,2.35,0.49,0.49,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-256 c,,LHS 1140,11.245833353,-15.271388898,14.15,,,,,12.47,0.42,0.42,-0.24,0.1,0.1,0.146,0.019,0.019,0.186,0.013,0.013,M4.5,5.0,0.0,8.0,3131.0,100.0,100.0,,,
